Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-07-23 00:00:00-04:00,45.56883385202442,46.49478396971058,45.508818718034554,46.12611770629883,2607300,0.0,0.0
2018-07-24 00:00:00-04:00,44.49712741387335,45.68028563758777,44.197048493202566,44.797203063964844,4974300,0.0,0.0
2018-07-25 00:00:00-04:00,44.59143156543614,45.03726055168251,43.914117533607524,44.17132568359375,5145000,0.0,0.0
2018-07-26 00:00:00-04:00,44.22277429177358,44.97725119239,43.51116160597504,44.317081451416016,2061400,0.0,0.0
2018-07-27 00:00:00-04:00,44.47140758147584,44.96867957603877,43.9912865059856,44.308509826660156,3058600,0.0,0.0
2018-07-30 00:00:00-04:00,44.42854412841463,44.994403497735014,44.29993838833189,44.908668518066406,3955600,0.0,0.0
2018-07-31 00:00:00-04:00,44.96010352385522,45.097281439412704,44.04272560033086,44.32565689086914,2968400,0.0,0.0
2018-08-01 00:00:00-04:00,44.52284834734521,45.877479806193406,44.52284834734521,45.27732849121094,3497100,0.0,0.0
2018-08-02 00:00:00-04:00,45.11442665159396,46.17755789269222,44.85721848263481,45.89462661743164,3180600,0.0,0.0
2018-08-03 00:00:00-04:00,45.88606080643216,46.160416660863284,45.4830992143578,45.73173522949219,1803600,0.0,0.0
2018-08-06 00:00:00-04:00,45.654575934728044,45.93750727096251,45.24304212158883,45.637428283691406,1787200,0.0,0.0
2018-08-07 00:00:00-04:00,45.7231580588617,46.36618013586784,45.645995278797784,45.76602554321289,1799400,0.0,0.0
2018-08-08 00:00:00-04:00,45.74887569500025,46.17755705905299,45.48309207187903,46.023231506347656,1539500,0.0,0.0
2018-08-09 00:00:00-04:00,45.90320719615673,46.11754790595883,45.517393264397015,45.5688362121582,780500,0.0,0.0
2018-08-10 00:00:00-04:00,45.08013875375028,45.73173305946024,45.01154815810734,45.49167251586914,1788600,0.0,0.0
2018-08-13 00:00:00-04:00,45.49166524603674,45.67171062495777,45.04583625734247,45.071556091308594,1429500,0.0,0.0
2018-08-14 00:00:00-04:00,45.268751057584474,46.02323116854166,45.13157315291764,45.92892074584961,2577300,0.0,0.0
2018-08-15 00:00:00-04:00,45.5840424200317,45.89443174148119,45.265032634763294,45.454715728759766,2054100,0.3,0.0
2018-08-16 00:00:00-04:00,45.51507749465672,46.59281657178537,45.50645374020045,46.33415985107422,1522800,0.0,0.0
2018-08-17 00:00:00-04:00,46.17033253076976,46.541074965151694,45.704748549592736,46.32552719116211,1321200,0.0,0.0
2018-08-20 00:00:00-04:00,46.334156429165986,46.72213983707971,46.16171753176077,46.541080474853516,1542200,0.0,0.0
2018-08-21 00:00:00-04:00,46.72214456764576,47.213593337160304,46.5410851870875,46.74801254272461,1649600,0.0,0.0
